School DBN,School Name,School District,Total Applicants,True Applicants,Ratio,Rank
02M534,Harvest Collegiate High School,2,1116.0,115.0,11.850358422939069,305
02M605,Humanities Preparatory Academy,2,861.0,101.0,11.847851335656214,306
07X527,Bronx Leadership Academy II High School,7,911.0,103.0,11.645444566410537,307
18K637,Academy for Conservation and the Environment,18,727.0,92.0,11.642365887207703,308
09X297,Morris Academy for Collaborative Studies,9,568.0,80.0,11.267605633802816,309
09X525,Bronx Leadership Academy High School,9,1027.0,107.0,11.148003894839338,310
17K524,International High School at Prospect Heights,17,338.0,61.0,11.00887573964497,311
23K514,Frederick Douglass Academy VII High School,23,532.0,76.0,10.857142857142858,312
10X433,High School for Teaching and the Professions,10,344.0,61.0,10.81686046511628,313
03M403,The Global Learning Collaborative,3,754.0,90.0,10.742705570291777,314
12X684,Wings Academy,12,370.0,63.0,10.727027027027027,315
09X250,Eximius College Preparatory Academy: A College Board School,9,761.0,90.0,10.64388961892247,316
17K548,Brooklyn School for Music & Theatre,17,522.0,74.0,10.490421455938698,317
11X509,High School of Language and Innovation,11,299.0,56.0,10.488294314381271,318
27Q260,Frederick Douglass Academy VI High School,27,482.0,71.0,10.45850622406639,319
02M432,Murray Hill Academy,2,558.0,76.0,10.35125448028674,320
13K594,Gotham Professional Arts Academy,13,364.0,61.0,10.222527472527473,321
24Q267,High School of Applied Communication,24,557.0,75.0,10.098743267504489,322
29Q248,Queens Preparatory Academy,29,383.0,62.0,10.036553524804178,323
28Q310,Queens Collegiate: A College Board School,28,453.0,67.0,9.909492273730685,324
12X521,The Metropolitan Soundview High School,12,453.0,67.0,9.909492273730685,324
02M305,"Urban Assembly Academy of Government and Law, The",2,573.0,75.0,9.81675392670157,326
03M860,Frederick Douglass Academy II Secondary School,3,309.0,55.0,9.789644012944985,327
29Q265,Excelsior Preparatory High School,29,353.0,58.0,9.529745042492918,328
02M047,47 The American Sign Language and English Secondary School,2,318.0,55.0,9.5125786163522,329
08X561,Bronx Compass High School,8,520.0,70.0,9.423076923076923,330
02M308,Lower Manhattan Arts Academy,2,524.0,69.0,9.085877862595419,331
11X290,Bronx Academy of Health Careers,11,897.0,90.0,9.03010033444816,332
19K404,Academy for Young Writers,19,559.0,71.0,9.01788908765653,333
32K403,Academy for Excellence in Leadership,32,653.0,76.0,8.845329249617151,334
14K614,Young Women's Leadership School of Brooklyn,14,251.0,47.0,8.800796812749004,335
18K629,Cultural Academy for the Arts and Sciences,18,567.0,70.0,8.641975308641975,336
08X636,Virtual Innovators Academy,8,113.0,31.0,8.504424778761061,337
02M500,Unity Center for Urban Technologies,2,274.0,48.0,8.408759124087592,338
18K642,Urban Action Academy,18,231.0,44.0,8.380952380952381,339
07X473,Mott Haven Village Preparatory High School,7,460.0,62.0,8.356521739130434,340
18K566,Brooklyn Community High School for Excellence and Equity,18,448.0,61.0,8.305803571428571,341
05M148,Eagle Academy for Young Men of Harlem,5,257.0,46.0,8.233463035019454,342
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,362.0,54.0,8.05524861878453,343
15K519,Cobble Hill School of American Studies,15,481.0,62.0,7.991683991683992,344
07X334,International Community High School,7,210.0,40.0,7.619047619047619,345
08X452,Gotham Collaborative High School,8,343.0,51.0,7.5830903790087465,346
17K547,Brooklyn Academy of Science and the Environment,17,373.0,53.0,7.53083109919571,347
04M680,"Heritage School, The",4,482.0,60.0,7.468879668049793,348
06M463,High School for Media and Communications,6,505.0,61.0,7.368316831683169,349
19K422,Spring Creek Community School,19,341.0,50.0,7.331378299120234,350
02M395,A School Without Walls,2,178.0,36.0,7.280898876404494,351
05M369,Urban Assembly School for the Performing Arts,5,372.0,52.0,7.268817204301075,352
17K546,High School for Public Service: Heroes of Tomorrow,17,656.0,69.0,7.257621951219512,353
17K751,Academy for Health Careers,17,715.0,72.0,7.2503496503496505,354
31R028,The Eagle Academy for Young Men of Staten Island,31,94.0,26.0,7.191489361702128,355
10X524,Crotona International High School,10,309.0,47.0,7.148867313915858,356
16K688,The Brooklyn Academy of Global Finance,16,469.0,56.0,6.686567164179104,357
07X551,The Urban Assembly Bronx Academy of Letters,7,309.0,45.0,6.553398058252427,358
23K697,Teachers Preparatory High School,23,187.0,35.0,6.550802139037433,359
