School DBN,School Name,School District,Residential District,Total Applicants Residential District,True Applicants Residential District,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
24Q600,Queens Technical High School,24,1,3,1,3942,1196,350,423,0.3333333333333333,114
30Q501,Frank Sinatra School of the Arts High School,30,1,24,8,3557,1643,236,416,2.6666666666666665,31
30Q575,Academy of American Studies,30,1,3,1,2727,819,170,224,0.3333333333333333,114
31R445,Port Richmond High School,31,1,3,1,1267,334,564,435,0.3333333333333333,114
32K403,Academy for Excellence in Leadership,32,1,3,1,653,76,108,-2,0.3333333333333333,114
32K554,All City Leadership Secondary School,32,1,3,1,911,247,62,62,0.3333333333333333,114
02M260,The Clinton School,2,1,107,35,2837,1151,134,221,11.448598130841122,10
02M411,Baruch College Campus High School,2,1,183,59,6773,2753,118,188,19.02185792349727,7
02M376,NYC iSchool,2,1,87,28,2459,931,118,158,9.011494252873563,12
01M292,Orchard Collegiate Academy,1,1,132,42,280,71,90,-2,13.363636363636363,9
02M407,Institute for Collaborative Education,2,1,51,16,836,263,61,73,5.019607843137255,22
02M414,N.Y.C. Museum School,2,1,66,19,3022,865,150,254,5.46969696969697,21
02M412,N.Y.C. Lab School for Collaborative Studies,2,1,98,28,3134,1067,109,161,8.0,13
04M435,Manhattan Center for Science and Mathematics,4,1,28,8,5010,1993,440,709,2.2857142857142856,36
15K656,Brooklyn High School of the Arts,15,1,7,2,2104,574,254,272,0.5714285714285714,60
02M393,Business Of Sports School,2,1,23,6,1151,248,129,210,1.565217391304348,44
02M438,International High School at Union Square,2,1,12,3,501,103,68,75,0.75,57
07X600,Alfred E. Smith Career and Technical Education High School,7,1,4,1,1126,227,189,193,0.25,141
12X684,Wings Academy,12,1,4,1,370,63,150,86,0.25,141
13K350,Urban Assembly School of Music and Art,13,1,8,2,494,52,108,-2,0.5,61
14K685,El Puente Academy for Peace and Justice,14,1,4,1,134,25,70,-2,0.25,141
15K497,The Boerum Hill School for International Studies,15,1,4,1,801,155,125,-2,0.25,141
19K502,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,19,1,4,1,745,141,108,125,0.25,141
21K348,High School of Sports Management,21,1,4,1,386,75,176,-2,0.25,141
