School DBN,School Name,School District,Home Language,Total Applicants Language,True Applicants Language,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
11X514,The Bronxwood Preparatory Academy,11,ENGLISH,508,70.0,668.0,93.0,120.0,150.0,9.645669291338583,244
14K071,Juan Morel Campos Secondary School,14,ENGLISH,210,45.0,341.0,78.0,101.0,69.0,9.642857142857142,245
14K478,"The High School for Enterprise, Business and Technology",14,ENGLISH,702,82.0,1197.0,144.0,249.0,130.0,9.578347578347579,246
02M533,Union Square Academy for Health Sciences,2,ENGLISH,403,62.0,834.0,154.0,163.0,143.0,9.538461538461538,247
13K963,Design Works High School,13,ENGLISH,501,69.0,607.0,86.0,81.0,6.0,9.502994011976048,248
32K556,Bushwick Leaders High School for Academic Excellence,32,ENGLISH,367,59.0,768.0,125.0,120.0,6.0,9.485013623978201,249
12X682,Fannie Lou Hamer Freedom High School,12,ENGLISH,233,47.0,388.0,73.0,110.0,83.0,9.48068669527897,250
10X213,Bronx Engineering and Technology Academy,10,ENGLISH,447,65.0,754.0,115.0,142.0,6.0,9.451901565995525,251
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,2,ENGLISH,236,47.0,432.0,88.0,108.0,6.0,9.360169491525424,252
27Q260,Frederick Douglass Academy VI High School,27,ENGLISH,364,58.0,482.0,71.0,121.0,6.0,9.241758241758241,253
28Q690,High School for Law Enforcement and Public Safety,28,ENGLISH,261,49.0,396.0,91.0,165.0,109.0,9.199233716475096,254
15K448,Brooklyn Collaborative Studies,15,ENGLISH,520,69.0,693.0,99.0,90.0,110.0,9.15576923076923,255
29Q283,Preparatory Academy for Writers: A College Board School,29,ENGLISH,151,37.0,177.0,47.0,90.0,69.0,9.066225165562914,256
17K548,Brooklyn School for Music & Theatre,17,ENGLISH,397,59.0,522.0,74.0,108.0,6.0,8.768261964735517,257
09X252,Mott Hall Bronx High School,9,ENGLISH,662,76.0,1138.0,141.0,90.0,130.0,8.725075528700906,258
06M211,Inwood Early College for Health and Information Technologies,6,ENGLISH,347,55.0,745.0,156.0,111.0,6.0,8.717579250720462,259
30Q417,Gotham Tech High School,30,ENGLISH,288,50.0,631.0,96.0,90.0,6.0,8.680555555555555,260
19K404,Academy for Young Writers,19,ENGLISH,422,60.0,559.0,71.0,92.0,82.0,8.530805687203792,261
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",13,ENGLISH,661,75.0,909.0,111.0,258.0,143.0,8.509833585476551,262
18K637,Academy for Conservation and the Environment,18,ENGLISH,519,66.0,727.0,92.0,170.0,217.0,8.393063583815028,263
29Q265,Excelsior Preparatory High School,29,ENGLISH,287,49.0,353.0,58.0,108.0,95.0,8.365853658536585,264
17K408,Academy of Hospitality and Tourism,17,ENGLISH,376,56.0,571.0,89.0,118.0,6.0,8.340425531914894,265
18K629,Cultural Academy for the Arts and Sciences,18,ENGLISH,449,61.0,567.0,70.0,116.0,80.0,8.287305122494432,266
10X225,Theatre Arts Production Company School,10,ENGLISH,425,59.0,633.0,88.0,170.0,6.0,8.190588235294118,267
06M346,Community Health Academy of the Heights,6,ENGLISH,226,43.0,586.0,143.0,75.0,93.0,8.18141592920354,268
10X477,Marble Hill High School for International Studies,10,ENGLISH,295,49.0,810.0,158.0,108.0,139.0,8.138983050847457,269
13K594,Gotham Professional Arts Academy,13,ENGLISH,284,48.0,364.0,61.0,81.0,6.0,8.112676056338028,270
02M605,Humanities Preparatory Academy,2,ENGLISH,644,71.0,861.0,101.0,75.0,6.0,7.827639751552795,271
07X625,Bronx Legacy High School,7,ENGLISH,430,58.0,690.0,97.0,90.0,6.0,7.823255813953488,272
13K265,Dr. Susan S. McKinney Secondary School of the Arts,13,ENGLISH,290,47.0,362.0,54.0,82.0,6.0,7.617241379310345,273
05M148,Eagle Academy for Young Men of Harlem,5,ENGLISH,213,40.0,257.0,46.0,120.0,88.0,7.511737089201878,274
05M369,Urban Assembly School for the Performing Arts,5,ENGLISH,270,45.0,372.0,52.0,108.0,6.0,7.5,275
