School DBN,School Name,School District,Home Borough,Total Applicants Borough,True Applicants Borough,Total Applicants School,Total True Applicants School,Seats Available School,Offers School,Ratio,Rank
02M412,N.Y.C. Lab School for Collaborative Studies,2,Staten Island,12,7.0,3134,1067.0,109,161,0.5833333333333334,160
02M412,N.Y.C. Lab School for Collaborative Studies,2,Unknown,49,12.0,3134,1067.0,109,161,0.24489795918367346,148
02M413,School of the Future High School,2,Bronx,190,42.0,1741,485.0,108,152,0.22105263157894736,267
02M413,School of the Future High School,2,Brooklyn,372,87.0,1741,485.0,108,152,0.23387096774193547,311
02M413,School of the Future High School,2,Manhattan,939,276.0,1741,485.0,108,152,0.2939297124600639,320
02M413,School of the Future High School,2,Queens,127,44.0,1741,485.0,108,152,0.3464566929133858,303
02M413,School of the Future High School,2,Staten Island,4,4.0,1741,485.0,108,152,1.0,1
02M413,School of the Future High School,2,Unknown,27,4.0,1741,485.0,108,152,0.14814814814814814,193
02M414,N.Y.C. Museum School,2,Bronx,354,55.0,3022,865.0,150,254,0.1553672316384181,330
02M414,N.Y.C. Museum School,2,Brooklyn,782,179.0,3022,865.0,150,254,0.2289002557544757,317
02M414,N.Y.C. Museum School,2,Manhattan,1559,461.0,3022,865.0,150,254,0.29570237331622834,319
02M414,N.Y.C. Museum School,2,Queens,200,54.0,3022,865.0,150,254,0.27,339
02M414,N.Y.C. Museum School,2,Staten Island,3,3.0,3022,865.0,150,254,1.0,1
02M414,N.Y.C. Museum School,2,Unknown,64,16.0,3022,865.0,150,254,0.25,135
02M416,Eleanor Roosevelt High School,2,Bronx,1696,735.0,7699,3749.0,136,224,0.43337264150943394,209
02M416,Eleanor Roosevelt High School,2,Brooklyn,1315,488.0,7699,3749.0,136,224,0.37110266159695815,236
02M416,Eleanor Roosevelt High School,2,Manhattan,2653,1537.0,7699,3749.0,136,224,0.5793441387108933,247
02M416,Eleanor Roosevelt High School,2,Queens,1831,864.0,7699,3749.0,136,224,0.4718732932823594,259
02M416,Eleanor Roosevelt High School,2,Staten Island,19,8.0,7699,3749.0,136,224,0.42105263157894735,169
02M416,Eleanor Roosevelt High School,2,Unknown,147,60.0,7699,3749.0,136,224,0.40816326530612246,87
02M418,Millennium High School,2,Bronx,677,209.0,5541,2290.0,176,286,0.3087149187592319,233
02M418,Millennium High School,2,Brooklyn,2077,860.0,5541,2290.0,176,286,0.41405873856523834,222
02M418,Millennium High School,2,Manhattan,1977,881.0,5541,2290.0,176,286,0.4456246838644411,277
02M418,Millennium High School,2,Queens,603,205.0,5541,2290.0,176,286,0.33996683250414594,306
02M418,Millennium High School,2,Staten Island,74,22.0,5541,2290.0,176,286,0.2972972972972973,179
02M418,Millennium High School,2,Unknown,87,42.0,5541,2290.0,176,286,0.4827586206896552,81
02M419,Landmark High School,2,Bronx,85,22.0,457,37.0,100,6,0.25882352941176473,249
02M419,Landmark High School,2,Brooklyn,36,24.0,457,37.0,100,6,0.6666666666666666,174
02M419,Landmark High School,2,Manhattan,222,35.0,457,37.0,100,6,0.15765765765765766,364
02M419,Landmark High School,2,Queens,15,15.0,457,37.0,100,6,1.0,1
02M419,Landmark High School,2,Unknown,8,2.0,457,37.0,100,6,0.25,135
02M420,High School for Health Professions and Human Services,2,Bronx,695,145.0,2991,776.0,477,590,0.20863309352517986,271
02M420,High School for Health Professions and Human Services,2,Brooklyn,771,167.0,2991,776.0,477,590,0.21660181582360571,323
02M420,High School for Health Professions and Human Services,2,Manhattan,683,113.0,2991,776.0,477,590,0.16544655929721816,360
02M420,High School for Health Professions and Human Services,2,Queens,632,191.0,2991,776.0,477,590,0.3022151898734177,324
02M420,High School for Health Professions and Human Services,2,Staten Island,5,5.0,2991,776.0,477,590,1.0,1
02M420,High School for Health Professions and Human Services,2,Unknown,121,38.0,2991,776.0,477,590,0.3140495867768595,111
02M422,Quest to Learn,2,Bronx,19,19.0,177,27.0,108,41,1.0,1
02M422,Quest to Learn,2,Brooklyn,29,29.0,177,27.0,108,41,1.0,1
02M422,Quest to Learn,2,Manhattan,63,38.0,177,27.0,108,41,0.6031746031746031,244
02M422,Quest to Learn,2,Queens,23,23.0,177,27.0,108,41,1.0,1
02M422,Quest to Learn,2,Staten Island,5,5.0,177,27.0,108,41,1.0,1
02M422,Quest to Learn,2,Unknown,2,2.0,177,27.0,108,41,1.0,1
02M425,Leadership and Public Service High School,2,Bronx,73,21.0,387,36.0,145,52,0.2876712328767123,240
02M425,Leadership and Public Service High School,2,Brooklyn,101,30.0,387,36.0,145,52,0.297029702970297,273
02M425,Leadership and Public Service High School,2,Manhattan,83,31.0,387,36.0,145,52,0.37349397590361444,289
02M425,Leadership and Public Service High School,2,Queens,19,19.0,387,36.0,145,52,1.0,1
02M425,Leadership and Public Service High School,2,Staten Island,6,6.0,387,36.0,145,52,1.0,1
02M425,Leadership and Public Service High School,2,Unknown,1,1.0,387,36.0,145,52,1.0,263
02M427,Manhattan Academy For Arts & Language,2,Bronx,61,21.0,389,72.0,108,49,0.3442622950819672,223
02M427,Manhattan Academy For Arts & Language,2,Brooklyn,22,22.0,389,72.0,108,49,1.0,1
02M427,Manhattan Academy For Arts & Language,2,Manhattan,160,55.0,389,72.0,108,49,0.34375,303
02M427,Manhattan Academy For Arts & Language,2,Queens,45,22.0,389,72.0,108,49,0.4888888888888889,257
02M427,Manhattan Academy For Arts & Language,2,Staten Island,1,1.0,389,72.0,108,49,1.0,196
02M427,Manhattan Academy For Arts & Language,2,Unknown,2,2.0,389,72.0,108,49,1.0,1
02M432,Murray Hill Academy,2,Bronx,112,23.0,558,76.0,90,6,0.20535714285714285,274
02M432,Murray Hill Academy,2,Brooklyn,46,34.0,558,76.0,90,6,0.7391304347826086,170
02M432,Murray Hill Academy,2,Manhattan,194,38.0,558,76.0,90,6,0.1958762886597938,349
02M432,Murray Hill Academy,2,Queens,53,28.0,558,76.0,90,6,0.5283018867924528,246
02M432,Murray Hill Academy,2,Staten Island,1,1.0,558,76.0,90,6,1.0,196
02M432,Murray Hill Academy,2,Unknown,3,3.0,558,76.0,90,6,1.0,1
02M437,Hudson High School of Learning Technologies,2,Bronx,31,19.0,353,48.0,119,6,0.6129032258064516,193
02M437,Hudson High School of Learning Technologies,2,Brooklyn,25,19.0,353,48.0,119,6,0.76,167
